Name,Release_Year,Genres,Review_Score,Avg_Main_Story,Avg_Main_+_Extras,Avg_Completionist,Avg_All_PlayStyles,Speedrun_Avg,Speedrun_Fastest,Speedrun_Slowest,Primary_Genre
The Wolf Among Us,2013.0,"Third-Person, Point-and-Click, Adventure",84,8.75,9.6,11.4,9.63,,,,Adventure
Epistory: Typing Chronicles,2015.0,"Text, Adventure, Educational",75,5.47,6.98,10.48,7.22,,,,Adventure
Call of Juarez: Gunslinger,2013.0,"First-Person, Action, Shooter",77,5.17,7.28,13.97,6.45,2.1,1.27,3.0,Shooter
Transistor,2014.0,"Real-Time, Action, Role-Playing",80,6.02,8.62,16.07,8.32,,,,Action
Deep Rock Galactic,2018.0,"First-Person, Action",79,57.62,132.92,659.88,172.45,,,,Action
Fallout,1997.0,"Top-Down, Turn-Based, Role-Playing",82,16.4,23.7,33.18,22.87,0.72,0.12,2.0,Top-Down
South Park: The Stick of Truth,2014.0,"Side, Scrolling, Turn-Based, Role-Playing",83,11.52,14.9,21.35,14.68,4.35,1.35,6.78,Turn-Based
Grand Theft Auto: Vice City,2002.0,"Third-Person, Action, Sandbox, Shooter",84,18.02,26.62,42.78,25.3,3.43,0.87,9.0,Shooter
Darkest Dungeon,2015.0,Role-Playing,79,55.88,81.58,111.05,77.85,,,,Role-Playing
Kingdom Come: Deliverance,2018.0,"First-Person, Third-Person, Adventure, Open World, Role-Playing",78,41.32,81.12,131.77,82.22,,,,Adventure
XCOM: Enemy Unknown,2012.0,Turn-Based,85,27.25,39.3,69.5,35.98,,,,Turn-Based
Pokémon Legends: Arceus,2022.0,"Turn-Based, Action, Role-Playing",80,25.98,45.38,80.75,45.72,,,,Action
Dead Space 2,2011.0,"Third-Person, Horror, Shooter, Survival",83,9.22,11.7,17.48,10.47,5.4,3.2,7.68,Horror
Among Us,2018.0,,71,,,,,,,,
Assassin's Creed Valhalla,2020.0,"Third-Person, Action, Adventure, Open World, Role-Playing",74,61.18,98.15,144.85,105.58,,,,Adventure
Tunic,2022.0,"Isometric, Action, Adventure",82,11.78,16.42,22.17,16.43,,,,Adventure
Super Meat Boy,2010.0,"Side, Platform",80,9.67,19.0,45.4,16.63,0.67,0.3,1.33,Platform
Sleeping Dogs: Definitive Edition,2014.0,"Third-Person, Action, Adventure, Fighting, Open World",80,14.82,24.52,41.73,25.48,3.7,3.7,3.7,Adventure
Just Cause 3,2015.0,"Third-Person, Action, Open World, Shooter",71,18.43,38.73,63.82,39.35,,,,Shooter
Call of Duty: Modern Warfare II,2022.0,"First-Person, Shooter",75,8.05,10.58,16.93,8.88,,,,Shooter
Garry's Mod,,Sandbox,76,64.32,411.88,810.33,277.83,,,,Sandbox
Left 4 Dead,2008.0,"First-Person, Shooter",79,7.0,20.37,62.53,13.67,2.08,1.42,2.43,Shooter
Blasphemous,2019.0,"Side, Action, Platform",79,13.6,19.15,28.35,19.3,,,,Action
Deus Ex: Human Revolution - Director's Cut,2013.0,"First-Person, Action, Role-Playing, Shooter",83,23.17,32.4,46.93,32.72,9.0,9.0,9.0,Shooter
Cult of the Lamb,2022.0,"Action, Roguelike",81,14.18,17.33,21.92,17.42,,,,Action
This War of Mine,2014.0,Simulation,77,11.05,20.6,40.65,17.12,,,,Simulation
Sid Meier's Civilization V,2010.0,Turn-Based,84,47.33,137.3,497.88,129.1,7.0,7.0,7.0,Turn-Based
Yakuza: Like a Dragon,2020.0,"Third-Person, Turn-Based, Action, Adventure, Role-Playing",88,45.45,68.58,104.3,69.18,6.5,6.5,6.5,Adventure
The Stanley Parable,2013.0,"First-Person, Adventure",79,1.5,2.9,10.57,3.7,0.12,0.05,1.15,Adventure
Far Cry 5,2018.0,"First-Person, Open World, Shooter",73,18.07,30.75,48.12,30.15,0.08,0.08,0.08,Shooter
Spyro Reignited Trilogy,2018.0,"Third-Person, Compilation, Platform",82,17.03,26.83,33.58,30.12,,,,Platform
Mass Effect,2007.0,"Third-Person, Action, Role-Playing, Shooter",84,17.48,28.43,45.17,28.07,7.5,1.72,13.18,Shooter
FTL: Faster Than Light,2012.0,Roguelike,81,13.3,33.22,121.95,30.82,1.62,0.32,2.52,Roguelike
Firewatch,2016.0,"First-Person, Adventure",78,4.12,4.78,5.25,4.53,1.28,1.28,1.28,Adventure
Ori and the Will of the Wisps,2020.0,"Action, Adventure, Platform",90,11.65,15.82,18.2,15.7,2.55,0.65,3.33,Adventure
Assassin's Creed,2007.0,"Third-Person, Action, Adventure",69,14.93,19.93,31.47,18.95,8.17,4.0,12.0,Adventure
Black Mesa,2020.0,"First-Person, Shooter",83,15.03,18.32,24.03,16.87,4.5,4.5,4.5,Shooter
The Witcher 3: Wild Hunt - Game of the Year Edition,2016.0,"Third-Person, Action, Adventure, Open World, Role-Playing",95,56.07,129.08,192.1,135.4,,,,Adventure
Dragon's Dogma: Dark Arisen,2013.0,"Action, Open World, Role-Playing",79,34.12,57.22,114.42,57.0,1.88,0.4,7.13,Action
